2019-03-16 14:20:00.722 [main] INFO  com.terwergreen.jvueserver.JvueServerApplication - Starting JvueServerApplication on WORK with PID 18364 (C:\Users\Terwer\IdeaProjects\jvue\jvue-server\target\classes started by Terwer in C:\Users\Terwer\IdeaProjects\jvue)
2019-03-16 14:20:05.256 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 4299 ms
2019-03-16 14:20:06.281 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-03-16 14:20:08.575 [main] WARN  o.s.b.a.t.ThymeleafAutoConfiguration$DefaultTemplateResolverConfiguration - Cannot find template location: classpath:/templates/ (please add some templates or check your Thymeleaf configuration)
2019-03-16 14:20:10.832 [main] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2019-03-16 14:20:11.018 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
2019-03-16 14:20:11.094 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
2019-03-16 14:20:11.100 [main] INFO  com.terwergreen.jvueserver.JvueServerApplication - Started JvueServerApplication in 13.497 seconds (JVM running for 27.562)
2019-03-16 14:20:23.551 [http-nio-8081-exec-2] INFO  org.apache.tomcat.util.http.parser.Cookie - A cookie header was received [1544431995,1545375298,1545962594; UM_distinctid=16927d96aa673-01bdd05df48f94-b781636-1fa400-16927d96aa7489; zg_700a639b4ec0421188762c155c49b73b=%7B%22sid%22%3A%201551179409129%2C%22updated%22%3A%201551180010819%2C%22info%22%3A%201551179409133%2C%22superProperty%22%3A%20%22%7B%7D%22%2C%22platform%22%3A%20%22%7B%7D%22%2C%22utm%22%3A%20%22%7B%7D%22%2C%22referrerDomain%22%3A%20%22%22%2C%22landHref%22%3A%20%22http%3A%2F%2Flocalhost%3A9090%2F%22%2C%22cuid%22%3A%20%22NaNNaNNaNNaNNaNNaNNaN%22%2C%22zs%22%3A%200%2C%22sc%22%3A%200%7D; _ga=GA1.1.1942599884.1552384392; CNZZDATA4445524=cnzz_eid%3D1834108414-1534931338-%26ntime%3D1552713546] that contained an invalid cookie. That cookie will be ignored.
 Note: further occurrences of this error will be logged at DEBUG level.
2019-03-16 14:20:23.599 [http-nio-8081-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-03-16 14:20:23.599 [http-nio-8081-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-03-16 14:20:23.611 [http-nio-8081-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2019-03-16 14:26:42.946 [Thread-22] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
